Nakalimutan ni Sami ang pangalan ni Layla.	Sami forgesis la nomon de Layla.	ang	0	0
Tulad ng nabanggit na, ang Ikatlong Tao ay madaling kapitan ng mga yugto ng pagkaabala sa sinaunang pagnanasa para sa personal na kawalang-kamatayan. Ang kasakimang ito ay madalas na malakas sa mga Unang Tao; at maging ang Pangalawang Tao, sa kabila ng kanilang dakilang kaloob ng detatsment, kung minsan ay pinahihintulutan sila ng kanilang paghanga sa personalidad ng taong hikayatin silang ang mga kaluluwa ay mabubuhay magpakailanman. Ang panandalian at di-teoretikal na Ikatlong Tao, kasama ang kanilang pagkahilig sa lahat ng uri ng buhay, at lahat ng pagkakaiba-iba ng mahahalagang pag-uugali, ay naglihi ng imortalidad sa iba't ibang paraan. Sa kanilang huling kultura, naisip nilang sa kamatayan ang lahat ng nabubuhay na bagay na sinang-ayunan ng Diyos-Buhay ay dumaan sa ibang mundo, na halos kapareho sa kilalang mundo, ngunit mas masaya. Doon sila ay sinasabing nanirahan sa presensya ng diyos, na naglilingkod sa kanya sa walang pigil na mahahalagang pagkamalikhain nang iba't ibang uri.	Kiel jam dirite, la Triaj Homoj estis emaj al fazoj de okupiteco kun la antikva avido al persona senmorteco. Ĉi tiu avido ofte estis forta inter la Unuaj Homoj; kaj eĉ la Duaj Homoj, malgraŭ sia granda dono de malligo, kelkfoje permesis, ke ilia admiro por homa personeco persvadi ilin, ke animoj devas vivi eterne. La mallongdaŭraj kaj neteoriaj Triaj Homoj, kun sia pasio por ĉiaspecaj vivaĵoj, kaj la tuta diverseco de esenca konduto, konceptis senmortecon en diversaj manieroj. En sia fina kulturo ili imagis, ke ĉe la morto ĉiuj vivaĵoj, kiujn aprobis la Vivo-Dio, transiris en alian mondon, tre similan al la konata mondo, sed pli feliĉa. Tie ili laŭdire vivis en la ĉeesto de la diaĵo, servante lin en senbrida esenca kreivo de diversaj specoj.	kanilang	0	0
Takbo.	Kuru.	takbo	0	0
Kumuha ka ng kapirasong keyk.	Prenu pecon da kuko.	kumuha	0	0
Naobserbahan natin ang kapalaran ng walong magkakasunod na espesye ng tao sa loob nang isang bilyong taon, ang unang kalahati ng kislap na iyon ay ang tagal ng tao. Sampung higit pang mga espesye ngayon ay nagtatagumpay sa isa't isa, o naroroon, sa kapatagan ng Neptuno. Kami, ang Huling Sangkatauhan, ay ang Ikalabingwalong Sangkatauhan. Sa walong espesye bago sa Neptuno, ang ilan, gaya ng nakita natin, ay palaging nananatiling primitibo; marami ang nakamit ang hindi bababa sa isang nalilito at panandaliang sibilisasyon, at ang isa, ang makinang na Ikalima, ay nagising na sa totoong sangkatauhan nang durugin ito ng kasawian. Ang sampung uri ng Neptuno ay nagpapakita ng mas malaking pagkakaiba-iba. Ang mga ito ay mula sa likas na hayop hanggang sa mga paraan ng kamalayang hindi pa natatamo. Ang walang alinlangang mga subhumanong mabulok na uri ay limitado halos sa unang anim na raang milyong taon ng pananatili ng mga tao sa Neptuno.	Ni observis la sorton de ok sinsekvaj homaj specioj dum miliardo da jaroj, la unua duono de tiu flagrado, kiu estas la daŭro de la homo. Dek pliaj specioj nun sukcedas unu la alian, aŭ estas nuntempaj, sur la ebenaĵoj de Neptuno. Ni, la Lastaj Homoj, estas la Dekokaj Homoj. El la ok antaŭneptuniaj specioj, iuj, kiel ni vidis, restis ĉiam primitivaj; multaj atingis almenaŭ konfuzitan kaj paseman civilizacion, kaj unu, la brila Kvina, jam vekiĝis en la veran homaron, kiam la malfeliĉo dispremis ĝin. La dek neptunaj specioj montras eĉ pli grandan diversecon. Ili intervalas de la instinkta besto ĝis manieroj de konscio neniam antaŭe atingitaj. La sendube subhomaj degeneritaj tipoj estas limigitaj plejparte al la unuaj sescent milionoj da jaroj de la restado de homoj sur Neptuno.	paraan	0	0
Namutla ka sa takot.	Vi paliĝis de timo.	takot	0	0
Sinubukan niyang maging mayaman at sikat.	Li provis riĉiĝi kaj famiĝi.	sikat	0	0
Itong huling tag-init pumunta ako sa Italya.	En la lasta somero mi faris vojaĝon al Italujo.	huling	0	0
Pinanuod ko ang pelikulang iyon nang limang beses.	Mi spektis tiun filmon kvinfoje.	beses	0	0
Hindi paparini ang tatay niya dahil masyadong bisi.	Ŝia patro ne venos, li estas tre okupata.	tatay	0	0
Nakatira sila sa ika-12 piso ng kondong iyon.	Ili loĝas je la 12a etaĝo de ĉi tiu kunproprieta apartamento.	nakatira	0	0
Hinuhugis ng komplikadong papagbatikbatiking alpombra sa lupa ang linden at akasya ng hardin.	La tilioj kaj akacioj en la ĝardeno desegnis sur la tero komplikitan makultapiŝon.	lupa	0	0
Anong gusto mong gawin; gustong umuwi na?	Kion vi volas fari, ĉu vi volas iri hejmen?	gustong	0	0
Sa tsaahan ngayong malamig at umuulang umaga nang ika-16 ng Abril ng 2023, umiinom ako ng Istrobering Abenang Matchang Latte at kumakain ng mga tsip na patatas. Ang baristang gumawa ng inumin ko ay isang Ingles-Hapones na mestisong si Chris. May regular na kostumer na dumating. Matangkad at malaking lalaking kayumanggi ang buhok, at kasama niya ang maliit na anak niyang babaeng mukhang Inglesa-Intsik na mestisa. Sa isang mesa, may mga regular nang mga Sabado at Linggo. May isang Ingles, Latino, at Intsik na atletiko. Kausap nila si Brian na maitim ang buhok at balbasing Eskoses na mayaman. May tagawalis sa parking lot. Bumbay siyang Taga-Fiji. Ang pangalan ay Benny.	Ĉe la teejo dum ĉi tiu malvarma kaj pluva mateno de la 16-a de aprilo de 2023, mi trinkis fragan avenan matĉan lateon kaj manĝis fritojn. La baristo, kiu faris mian trinkaĵon, estis Chris, angla-japana miksrasulo. Venis kutima kliento. Estis alta, granda viro kun bruna hararo, kaj kun li estis lia filineto, kiu aspektis kiel angla-ĉina miksrasulino. Ĉe unu tablo, estis regulaj klientoj dum sabatoj kaj dimanĉoj. Estis anglo, latineskulo, kaj ĉino kun atleta aspekto. Ili parolis kun Brian, kiu estis riĉa skoto kun malhelaj hararo kaj barbo. Estis balaisto en la aŭtomobila parkejo. Li, baratano, devenis de Fiĝioj. La nomo estis Benny.	maliit	0	0
Puwede ba ninyo akong tulungan? Nawala ko ang isang importanteng dokumento.	Ĉu vi povus helpi min? Mi perdis gravan dokumenton.	nawala	0	0
Nakita ko si Miguel na Tsino sa kapihang Istarbaks sa Isla Lulu nang ika-25 ng Oktubre ng 2021. Nakasuot siya ng itim na dyaket para sa motorsiklo. Mayroon daw siyang motorsiklong Ducati ng Italya. Binanggit niya ang isang babaeng nagkantot ng tatlong ibang lalaki sa jacuzzi. Pinag-usapan namin ang mga seksong sakit. Tapos, pinag-usapan namin ang mga diaspora ng mga Tsino sa mundong ito. Ang mga Kantones ay sa Anglospera. Ang mga Hokkien ay sa Taiwan at Timog-silangang Asya. Hokkien ang mga ninuno ko, sabi ko. Binanggit niya ang mga Taga-Wenzhou, yaong maraming pumunta'y sa Europa.	Mi vidis Miĥaelon la ĉino ĉe la kafejo Starbukso sur Lulu-insulo la 25-an de oktobro de 2021. Li portis nigran motorciklan jakon. Li diris, ke li posedas Ducati-motorciklon el Italio. Li menciis virinon, kiu fikis tri malsamajn virojn en kirlakva banujo. Ni parolis pri seksaj malsanoj. Poste, ni parolis pri la diasporoj de la ĉinoj en ĉi tiu mondo. La kantonanoj estas en la Anglosfero. La hokkienoj estas en Tajvano kaj Sudorienta Azio. Miaj prapatroj estis hokkienoj, mi diris. Li menciis la Wenzhou-anojn, el kiuj multaj iris al Eŭropo.	mayroon	0	0
Ayon sa Shinto, sa kamatayan ng tao, may ilang posibleng destinasyon: sa malayong kabila ng karagatang may buhay-bata, sa di kitang mundong astral, sa mundo-ilalim, o kaya sa kabundukan para magguwardiya ng buhay pang pamilya. Sa Shinto, ang paniwala ay may posibilidad na ang tao ay maging "kami." Marami ang kami at kung tawagin minsan ay "kamigami." Kung minsan, ang tawag ng mga Hapones sa Diyos ay "Kami-sama." Malimit din ang kami ay espiritu o anito, di lamang diyos, ang ibig sabihin.	Laŭ ŝintoismo, ĉe la morto de homo, ekzistas pluraj eblaj cellokoj: en la juna vivo for preter la oceano, en la nevidebla astra mondo, en la submondo, aŭ ĉe la montoj por gardi familiajn postvivantojn. En ŝintoismo, la nocio ekzistas, ke homo eble iĝas "kami". Estas multaj el "kami", kaj oni kelkfoje nomas ilin "kamigami". Kelkfoje, la japanoj nomas Dion "Kami-sama". Ofte, "kami" ankaŭ signifas spiritojn aŭ animojn, ne nur diojn.	minsan	0	0
Lumabas si Tom.	Tomo iris eksteren.	lumabas	0	0
Kinausap ko si Michael na Tsino sa kapihang Istarbaks ngayong maaraw na ika-21 ng Setyembre ng 2021. Talagang mas mukha siyang Hapon sa akin at iba. Tinanong niya ako kung "miss" ko raw ang "hometown" ko. Sabi ko, gusto ko ang pareho. Narito na ako sa Isla Lulung matagal na ang sabi ko. Sabi ko, pulang "savannah" ang tinirhan ko sa Pilipinas. Tapos, tiningnan niya ang "savannah" sa smartphone niya. Ang pasaporte raw niya ay sa Tsina, dahil mayroon siyang lupa o rental property sa Guǎngzhōu sa Tsina. Pinag-usapan namin ang korupsiyong internasyonal. Magbibisita raw ang pamilya niya sa Mongolia. Alam kong maganda roon. Mahirap daw sa mga restawran ngayon dahil ng Pandemya. Kung marunong daw akong magluto nang sarili, ang tanong ni Michael. Sabi ko, may sarili akong mga recipe.	Mi parolis kun Miĥaelo la ĉino en la kafejo Starbukso ĉi tiun sunbrilan 21-an de septembro de 2021. Li vere aspektas pli kiel japano laŭ mi kaj aliaj. Li demandis al mi, ĉu mi "sopiras" mian "hejmurbon". Mi diris, ke mi ŝatas ambaŭ. Mi estis sur Lulu-insulo delonge, mi diris. Mi diris, ke ruĝa "savano" estas kie mi loĝis en Filipinoj. Poste, li rigardis "savano" per sia saĝtelefono. Li diris, ke lia pasporto estas de Ĉinio, ĉar li havas teron aŭ lueblajn posedaĵojn en Guǎngzhōu en Ĉinio. Ni parolis pri internacia korupteco. Li diris, ke lia familio vizitos Mongolion. Mi scias, ke estas bele tie. Li diras, ke estas malfacile en restoracioj hodiaŭ pro la Pandemio. Se mi povus kuiri sola, Miĥaelo demandis. Mi diris, ke mi havas miajn proprajn receptojn.	miss	0	0
Merong ka bang dapat itago?	Ĉu vi havas ion kaŝendan?	merong	0	0
Nabanggit ko kay Michael na Tsino ang bisita ko noong Gradong 6 sa Isla Galiano, at nakita ko roon ang maraming harding ahas na iba-ibang kulay sa mga damo. Kinuha ng mga kaklase ko, at nilagay nila sa kahon para iuwi nila sa Isla Lulu. Nakakita raw si Michael ng harding ahas dito sa Isla Lulu, sa malapit sa Daang Numero 7. Hindi ko alam na may ahas pala rito. Sabi ni Michael na hindi siya mamamayan dito, at nagpapabago siya ng kanyang bisang pangbisita bawat taon. Ang asawa at mga anak niya ay mamamayan dito. Sabi ko'y sa Isla Bali sa Indonesia, natikman ko na ang "bunga ng ahas" o "salak" ang tawag doon.	Mi menciis al Miĥaelo la ĉino, ke mi vizitis dum la klaso 6 al Galiano-insulo, kaj tie mi vidis multajn ĝardenajn serpentojn diverskolorajn en la herbo. Miaj samklasanoj prenis ilin, kaj ili metis ilin en skatolojn por porti hejmen al Lulu-insulo. Miĥaelo supozeble vidis ĝardenan serpenton ĉi tie sur Lulu-insulo, proksime al Stratego Numero 7. Mi ne sciis, ke ĉi tie ekzistas serpentoj. Miĥaelo diras, ke li ne estas civitano ĉi tie, kaj li renovigas sian vizitantan vizon ĉiujare. Liaj edzino kaj infanoj estas civitanoj ĉi tie. Mi diris, ke sur Bali-insulo en Indonezio, mi gustumis la "serpentan frukton" aŭ "salak"-on kiel ĝi nomiĝas tie.	bawat	0	0
Inabot niya ang Kyoto noong Sabado.	Sabate li alvenis en Kioto.	kyoto	0	0
Ang nangyari'y katulad ng kidlat sa langit na walang ulap.	Ĝi okazis samkiel fulmo el sennuba ĉielo.	katulad	0	0
Umaasa akong di ka kasing ligaya ko, kundi mas.	Mi esperas, ke vi feliĉas ne kiel mi, sed pli.	kundi	0	0
Habang naglalakad sa interseksiyon sa sentrong Vancouver, BC, maraming taon na ang nakalipas, isang babaeng Amerindiya ang tumingin sa akin sa mukha at sinabing, "Huwag kang ngumiti!" Kitang-kita ko sa mukha niya kung gaano talaga pinaghirapan ng dayuhang kulturang kanluranin ang buhay niya.	Promenante tra la zebrostria pasejo en urbocentra Vankuvero, BK, antaŭ multaj jaroj, indiana virino rigardis mian vizaĝon kaj diris: "Ne ridetu!" Mi povis vidi sur ŝia vizaĝo, kiel fremda okcidenta kulturo vere streĉis ŝian vivon.	mukha	0	0
Malaki na ba ang kuwarto para sa iyo?	Ĉu la ĉambro estas sufiĉe granda por vi?	malaki	0	0
Tumahimik at makinig, bata!	Silentu kaj aŭskultu, knabo!	tumahimik	0	0
Nasaan ang estasyon ng tren?	Kie situas fervojstacio?	tren	0	0
Kasasabi niya iyon, ginuhit niya ang anyo ng isda sa batong plato nang gamit ang kanyang ispada.	Dirinte tion, li desegnis sur ŝtona plato per sia glavo la formon de fiŝo.	gamit	0	0
Kung may wika ka, magsalita ka! Sino ka?	Se lingvon vi posedas, parolu! Kiu vi?	magsalita	0	0
Nakalimutan ni Sami ang pangalan ni Layla.	Sami forgesis la nomon de Layla.	nakalimutan	0	0
Mas gustong magsarili kaysa sa may kasamang sira-ulo.	Prefere sola ol kun frenezuloj.	kaysa	0	0
Naghintay ako nang matagal.	Mi atendis dum longa tempo.	matagal	0	0
Habang naglalakad sa interseksiyon sa sentrong Vancouver, BC, maraming taon na ang nakalipas, isang babaeng Amerindiya ang tumingin sa akin sa mukha at sinabing, "Huwag kang ngumiti!" Kitang-kita ko sa mukha niya kung gaano talaga pinaghirapan ng dayuhang kulturang kanluranin ang buhay niya.	Promenante tra la zebrostria pasejo en urbocentra Vankuvero, BK, antaŭ multaj jaroj, indiana virino rigardis mian vizaĝon kaj diris: "Ne ridetu!" Mi povis vidi sur ŝia vizaĝo, kiel fremda okcidenta kulturo vere streĉis ŝian vivon.	tumingin	0	0
Ang problema ng paglalakbay sa pagitan ng mga bituin ay napaka-kaakit-akit na kung minsan ay nagiging isang kinahuhumalingan kahit na sa isang medyo mahusay na binuong utopiyang mundo. Ito ay maaaring mangyari lamang kung mayroong isang bagay na hindi malusog sa konstitusyon ng mundong iyon, isang uri ng lihim at hindi natutupad na kagutumang nagtutulak sa mga nilalang. Baka mabaliw sa pagbiyabiyahe ang rasa.	La problemo de interstela vojaĝado estis tiel alloga, ke ĝi kelkfoje fariĝis obsedo eĉ al sufiĉe bonevoluinta utopia mondo. Tio povus okazi nur, se en la konstitucio de tiu mondo estis io nesana, ia sekreta kaj neplenumita malsato, kiu pelas la estaĵojn. La raso tiam eble iĝos vojaĝ-freneza.	maaaring	0	0
Di ako sigurado kung talagang kumakapal ang keyk.	Mi ne estas certa, ĉu kuko vere dikigas.	sigurado	0	0
"Pumasok ka," sabi ng kapatid niya, "At umupo ka sa tabi ng apoy."	"Envenu," diris ŝia fratino, "Kaj sidiĝu apud la fajro."	pumasok	0	0
Hinihiphipan ng hangin ang mga ulap.	La vento forblovis la nubojn.	hangin	0	0
Ang taas ko ay 1.83 metro.	Mi estas 1,83 m longa.	taas	0	0
Maging masaya; dadating pa ang pinakagaling na mga araw.	Estu feliĉa, la plej bonaj tagoj ankoraŭ venos.	masaya	0	0
Tawagan mo ako kung gusto mo.	Voku min kiam vi volos.	tawagan	0	0
Medyong magpahinga tayo sa ilalim ng puno.	Ni iom ripozu sub la arbo.	ilalim	0	0
Natatakot silang nasa labas ng bahay, dahil kapag nakikita nila ang kalikasan—ang mga puno, ang langit, ang ulap, at iba pa—nararamdaman nila ang "tunay" na diyos.	Ili timas esti ekster la domo, ĉar kiam ili vidas la naturon—la arbojn, la ĉielon, la nubojn, kaj tiel plu—ili sentas la "realan" dion.	natatakot	0	0
Alam ko na hindi mo magagawa iyan ng walang anumang tulong.	Mi scias ke vi ne povos fari tion sen ia helpo.	magagawa	0	0
Saan mo binili yang aklat?	Kie vi aĉetis tiun libron?	yang	0	0
Natagpo ko noong ika-23 ng Setyembre ng 2021 si Bob na kapatid ni George, yaong Tsipreng Griyegong kapitbahay ko sa Isla Lulu. (Haponesa ang asawa ni George, si Chika.) Bumibisita si Bob sa pamilya dahil sa kamatayan ni Thasso, ang ama nila at asawa ni Nikki, dahil sa coronavirus. Sabi ko kay Bob, natatandaan ko noong maliit na bata pa silang nagbibisikleta ni George sa pook namin. Binanggit kong masarap ang "fish and chips" sa London. Nakatira raw siya sa isang nayong malapit sa York sa norteng Inglatera. Sabi ko'y maganda sa Lumang Mundo at matagal ko nang nais tumira sa Lumang Mundo. Manedyer pangkompyuter daw si Bob sa Inglatera. Tungkol daw sa programasyon ng mga "obheto."	Mi renkontis je la 23-a de septembro de 2021 Bob-on, la fraton de Georgo, tiu mia grek-cipra najbaro sur Lulu-insulo. (La edzino de Georgo, Ĉika, estas japanino.) Bob vizitas la familion pro la kronvirusa morto de Thasso, ilia patro kaj la edzo de Nikki. Mi diris al Bob, ke mi memoras, kiam Georgo kaj li estis malgrandaj infanoj biciklantaj en nia najbarejo. Mi menciis la bongustajn fiŝaĵon kaj terpomfritaĵojn en Londono. Li laŭdire loĝas en vilaĝo apud Jorko en norda Anglujo. Mi diris, ke la Malnova Mondo estas bela kaj mi longe volis loĝi en la Malnova Mondo. Bob estas komputika administranto en Anglujo. Li diras, ke temas pri programado de "objektoj".	asawa	0	0
Naobserbahan natin ang kapalaran ng walong magkakasunod na espesye ng tao sa loob nang isang bilyong taon, ang unang kalahati ng kislap na iyon ay ang tagal ng tao. Sampung higit pang mga espesye ngayon ay nagtatagumpay sa isa't isa, o naroroon, sa kapatagan ng Neptuno. Kami, ang Huling Sangkatauhan, ay ang Ikalabingwalong Sangkatauhan. Sa walong espesye bago sa Neptuno, ang ilan, gaya ng nakita natin, ay palaging nananatiling primitibo; marami ang nakamit ang hindi bababa sa isang nalilito at panandaliang sibilisasyon, at ang isa, ang makinang na Ikalima, ay nagising na sa totoong sangkatauhan nang durugin ito ng kasawian. Ang sampung uri ng Neptuno ay nagpapakita ng mas malaking pagkakaiba-iba. Ang mga ito ay mula sa likas na hayop hanggang sa mga paraan ng kamalayang hindi pa natatamo. Ang walang alinlangang mga subhumanong mabulok na uri ay limitado halos sa unang anim na raang milyong taon ng pananatili ng mga tao sa Neptuno.	Ni observis la sorton de ok sinsekvaj homaj specioj dum miliardo da jaroj, la unua duono de tiu flagrado, kiu estas la daŭro de la homo. Dek pliaj specioj nun sukcedas unu la alian, aŭ estas nuntempaj, sur la ebenaĵoj de Neptuno. Ni, la Lastaj Homoj, estas la Dekokaj Homoj. El la ok antaŭneptuniaj specioj, iuj, kiel ni vidis, restis ĉiam primitivaj; multaj atingis almenaŭ konfuzitan kaj paseman civilizacion, kaj unu, la brila Kvina, jam vekiĝis en la veran homaron, kiam la malfeliĉo dispremis ĝin. La dek neptunaj specioj montras eĉ pli grandan diversecon. Ili intervalas de la instinkta besto ĝis manieroj de konscio neniam antaŭe atingitaj. La sendube subhomaj degeneritaj tipoj estas limigitaj plejparte al la unuaj sescent milionoj da jaroj de la restado de homoj sur Neptuno.	higit	0	0
Naku! Ang lamig ngayon.	Ve! Hodiaŭ malvarmegas.	naku	0	0
Gustong maglaro ng beysbol ang halos lahat ng batang lalaking Hapon.	Preskaŭ ĉiuj japanaj knaboj ŝatas ludi bazopilkadon.	lalaking	0	0
Gumawa ng bagong paaralan.	Nova lernejo estas konstruata.	gumawa	0	0
Gusto niyang sumama sa atin.	Li deziris veni kun ni.	sumama	0	0
Sa isang pirasong papel, hinugis ng inhinyero ang kasangkapan na iniisip niya.	Sur paperpeco la inĝeniero faris desegnon de la aparato, kiun li elpensis.	iniisip	0	0
Tulad ng nabanggit na, ang Ikatlong Tao ay madaling kapitan ng mga yugto ng pagkaabala sa sinaunang pagnanasa para sa personal na kawalang-kamatayan. Ang kasakimang ito ay madalas na malakas sa mga Unang Tao; at maging ang Pangalawang Tao, sa kabila ng kanilang dakilang kaloob ng detatsment, kung minsan ay pinahihintulutan sila ng kanilang paghanga sa personalidad ng taong hikayatin silang ang mga kaluluwa ay mabubuhay magpakailanman. Ang panandalian at di-teoretikal na Ikatlong Tao, kasama ang kanilang pagkahilig sa lahat ng uri ng buhay, at lahat ng pagkakaiba-iba ng mahahalagang pag-uugali, ay naglihi ng imortalidad sa iba't ibang paraan. Sa kanilang huling kultura, naisip nilang sa kamatayan ang lahat ng nabubuhay na bagay na sinang-ayunan ng Diyos-Buhay ay dumaan sa ibang mundo, na halos kapareho sa kilalang mundo, ngunit mas masaya. Doon sila ay sinasabing nanirahan sa presensya ng diyos, na naglilingkod sa kanya sa walang pigil na mahahalagang pagkamalikhain nang iba't ibang uri.	Kiel jam dirite, la Triaj Homoj estis emaj al fazoj de okupiteco kun la antikva avido al persona senmorteco. Ĉi tiu avido ofte estis forta inter la Unuaj Homoj; kaj eĉ la Duaj Homoj, malgraŭ sia granda dono de malligo, kelkfoje permesis, ke ilia admiro por homa personeco persvadi ilin, ke animoj devas vivi eterne. La mallongdaŭraj kaj neteoriaj Triaj Homoj, kun sia pasio por ĉiaspecaj vivaĵoj, kaj la tuta diverseco de esenca konduto, konceptis senmortecon en diversaj manieroj. En sia fina kulturo ili imagis, ke ĉe la morto ĉiuj vivaĵoj, kiujn aprobis la Vivo-Dio, transiris en alian mondon, tre similan al la konata mondo, sed pli feliĉa. Tie ili laŭdire vivis en la ĉeesto de la diaĵo, servante lin en senbrida esenca kreivo de diversaj specoj.	nilang	0	0
Ayon sa Shinto, sa kamatayan ng tao, may ilang posibleng destinasyon: sa malayong kabila ng karagatang may buhay-bata, sa di kitang mundong astral, sa mundo-ilalim, o kaya sa kabundukan para magguwardiya ng buhay pang pamilya. Sa Shinto, ang paniwala ay may posibilidad na ang tao ay maging "kami." Marami ang kami at kung tawagin minsan ay "kamigami." Kung minsan, ang tawag ng mga Hapones sa Diyos ay "Kami-sama." Malimit din ang kami ay espiritu o anito, di lamang diyos, ang ibig sabihin.	Laŭ ŝintoismo, ĉe la morto de homo, ekzistas pluraj eblaj cellokoj: en la juna vivo for preter la oceano, en la nevidebla astra mondo, en la submondo, aŭ ĉe la montoj por gardi familiajn postvivantojn. En ŝintoismo, la nocio ekzistas, ke homo eble iĝas "kami". Estas multaj el "kami", kaj oni kelkfoje nomas ilin "kamigami". Kelkfoje, la japanoj nomas Dion "Kami-sama". Ofte, "kami" ankaŭ signifas spiritojn aŭ animojn, ne nur diojn.	kitang	0	0
Aling wika ang pagsasalita sa inyong bansa?	Kiun lingvon oni parolas en via lando?	bansa	0	0
Hinanda niya ang sarsang bluberi para bigyan ng lasa ang lutong pato.	Li preparis mirtelan saŭcon por gustigi la anasaĵon.	bigyan	0	0
May mga unggoy sa gubat na may maraming puno ng bayabas.	Estas simioj en la arbaro kun multaj gujavarboj.	gubat	0	0
Mas mataas ka nang kalahating ulo kaysa sa akin.	Vi estas je duono da kapo pli alta ol mi.	ulo	0	0
Ang taong sinasalin ang mga salita ay gumagawa ng walang gramatikang mali sa dayuhang wika.	Homoj, kies vortojn oni tradukas, faras neniujn gramatikajn erarojn en la fremda lingvo.	gumagawa	0	0
Tulad ng nabanggit na, ang Ikatlong Tao ay madaling kapitan ng mga yugto ng pagkaabala sa sinaunang pagnanasa para sa personal na kawalang-kamatayan. Ang kasakimang ito ay madalas na malakas sa mga Unang Tao; at maging ang Pangalawang Tao, sa kabila ng kanilang dakilang kaloob ng detatsment, kung minsan ay pinahihintulutan sila ng kanilang paghanga sa personalidad ng taong hikayatin silang ang mga kaluluwa ay mabubuhay magpakailanman. Ang panandalian at di-teoretikal na Ikatlong Tao, kasama ang kanilang pagkahilig sa lahat ng uri ng buhay, at lahat ng pagkakaiba-iba ng mahahalagang pag-uugali, ay naglihi ng imortalidad sa iba't ibang paraan. Sa kanilang huling kultura, naisip nilang sa kamatayan ang lahat ng nabubuhay na bagay na sinang-ayunan ng Diyos-Buhay ay dumaan sa ibang mundo, na halos kapareho sa kilalang mundo, ngunit mas masaya. Doon sila ay sinasabing nanirahan sa presensya ng diyos, na naglilingkod sa kanya sa walang pigil na mahahalagang pagkamalikhain nang iba't ibang uri.	Kiel jam dirite, la Triaj Homoj estis emaj al fazoj de okupiteco kun la antikva avido al persona senmorteco. Ĉi tiu avido ofte estis forta inter la Unuaj Homoj; kaj eĉ la Duaj Homoj, malgraŭ sia granda dono de malligo, kelkfoje permesis, ke ilia admiro por homa personeco persvadi ilin, ke animoj devas vivi eterne. La mallongdaŭraj kaj neteoriaj Triaj Homoj, kun sia pasio por ĉiaspecaj vivaĵoj, kaj la tuta diverseco de esenca konduto, konceptis senmortecon en diversaj manieroj. En sia fina kulturo ili imagis, ke ĉe la morto ĉiuj vivaĵoj, kiujn aprobis la Vivo-Dio, transiris en alian mondon, tre similan al la konata mondo, sed pli feliĉa. Tie ili laŭdire vivis en la ĉeesto de la diaĵo, servante lin en senbrida esenca kreivo de diversaj specoj.	naisip	0	0
Nagdududa ang ilan kung lalampasan ng artipisyal na intelihensiya ng makina ang natural na intelihensiya ng tao.	Iuj dubas, ĉu artefarita maŝina inteligenteco superos naturan homan inteligentecon.	makina	0	0
Buksan natin ang bintana.	Ni malfermu la fenestron.	buksan	0	0
Sa likod ng bahay ko ay sambahan.	Malantaŭ mia domo estas preĝejo.	likod	0	0
Parehas silang nanggagaling sa parehong bansa.	Ili venas el la sama lando.	parehong	0	0
Iguhit ng linya sa A hanggang B.	Streku linion de A al B.	a	0	0
Maningning ang buwan sa gabi.	La luno brilas nokte.	buwan	0	0
Nag-iiba ang mundo sa bawat minuto.	La mondo ŝanĝiĝas ĉiun minuton.	minuto	0	0
Tumigil siyang manigarilyo.	Li ĉesis fumi.	tumigil	0	0
Maari mo siyang kausapin.	Vi povas paroli kun li.	kausapin	0	0
Basta di-kailanman!	Neniam definitive!	basta	0	0
Bakit ganyan kalaki ang bibig mo?	Kial via buŝo estas tiom granda?	ganyan	0	0
Halos walang alam si Tomas tungkol sa mga babae.	Tom havas preskaŭ neniun sperton pri virinoj.	halos	0	0
Kinausap ko si Michael na Tsino sa kapihang Istarbaks ngayong maaraw na ika-21 ng Setyembre ng 2021. Talagang mas mukha siyang Hapon sa akin at iba. Tinanong niya ako kung "miss" ko raw ang "hometown" ko. Sabi ko, gusto ko ang pareho. Narito na ako sa Isla Lulung matagal na ang sabi ko. Sabi ko, pulang "savannah" ang tinirhan ko sa Pilipinas. Tapos, tiningnan niya ang "savannah" sa smartphone niya. Ang pasaporte raw niya ay sa Tsina, dahil mayroon siyang lupa o rental property sa Guǎngzhōu sa Tsina. Pinag-usapan namin ang korupsiyong internasyonal. Magbibisita raw ang pamilya niya sa Mongolia. Alam kong maganda roon. Mahirap daw sa mga restawran ngayon dahil ng Pandemya. Kung marunong daw akong magluto nang sarili, ang tanong ni Michael. Sabi ko, may sarili akong mga recipe.	Mi parolis kun Miĥaelo la ĉino en la kafejo Starbukso ĉi tiun sunbrilan 21-an de septembro de 2021. Li vere aspektas pli kiel japano laŭ mi kaj aliaj. Li demandis al mi, ĉu mi "sopiras" mian "hejmurbon". Mi diris, ke mi ŝatas ambaŭ. Mi estis sur Lulu-insulo delonge, mi diris. Mi diris, ke ruĝa "savano" estas kie mi loĝis en Filipinoj. Poste, li rigardis "savano" per sia saĝtelefono. Li diris, ke lia pasporto estas de Ĉinio, ĉar li havas teron aŭ lueblajn posedaĵojn en Guǎngzhōu en Ĉinio. Ni parolis pri internacia korupteco. Li diris, ke lia familio vizitos Mongolion. Mi scias, ke estas bele tie. Li diras, ke estas malfacile en restoracioj hodiaŭ pro la Pandemio. Se mi povus kuiri sola, Miĥaelo demandis. Mi diris, ke mi havas miajn proprajn receptojn.	pareho	0	0
