Keittiössä on omenoita.	May mga mansanas sa kusina.	on	0	0
Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	päätin	0	0
Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	matkan	0	0
Tom istui odottamaan.	Umupo si Tom at naghintay.	odottamaan	0	0
Puhutko omasta mielestäsi sujuvasti ranskaa?	Itinuturi mo ba ang iyong sarili na matatas na mananalita ng Pranses?	omasta	0	0
Puhutko omasta mielestäsi sujuvasti ranskaa?	Itinuturi mo ba ang iyong sarili na matatas na mananalita ng Pranses?	mielestäsi	0	0
On talo meren rannalla.	May bahay sa tabi ng dagat.	rannalla	0	0
En ole syntynyt maan päälle.	Hindi ako pinanganak sa Tiyera.	syntynyt	0	0
Muumipuutarhassa sataa lunta.	Nagniyeniyebe sa hardin ng Moomin.	sataa	0	0
Söin muumitalossa.	Kumain ako sa bahay ng Moomin.	söin	0	0
Keittiössä on omenoita.	May mga mansanas sa kusina.	keittiössä	0	0
Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	selvinnyt	0	0
Tom istui odottamaan.	Umupo si Tom at naghintay.	istui	0	0
Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	lintu	0	0
Puhutko omasta mielestäsi sujuvasti ranskaa?	Itinuturi mo ba ang iyong sarili na matatas na mananalita ng Pranses?	puhutko	0	0
On talo meren rannalla.	May bahay sa tabi ng dagat.	meren	0	0
Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	samasta	0	0
Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	sää	0	0
Lempikieleni ei ole vain unelma.	Hindi lamang pangarap ang paborito kong lengguwahe.	unelma	0	0
Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	pystyi	0	0
Muumeilla on pitkä historia.	May mahabang kasaysayan ang mga Moomin.	historia	0	0
Puistossa on paljon puita.	Maraming mga puno sa parke.	puistossa	0	0
Laatikossa on appelsiineja.	May mga dalandan sa kahon.	laatikossa	0	0
Kävelin suuressa puistossa.	Naglakad-lakad ako sa malaking parke.	kävelin	0	0
Muumipuutarha on täynnä lunta.	Puno ng niyebe ang hardin ng Moomin.	lunta	0	0
Puistossa on paljon puita.	Maraming mga puno sa parke.	puita	0	0
Brenna on vanha. Viha ja kateus ovat hänen tunteitaan.	Matanda na si Brenna. Ang kagalitan at kainggitan ay mga emosyon niya.	viha	0	0
Joni ei osaa puhua ranskaa hyvin.	Hindi magaling magsalita ng Pranses si Juan.	ranskaa	0	0
Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	jatkoi	0	0
Kävelin suuressa puistossa.	Naglakad-lakad ako sa malaking parke.	suuressa	0	0
Muumitalo on lumen peitossa.	Natatakpan ng niyebe ang bahay ng Moomin.	peitossa	0	0
Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	kokonaisen	0	0
Muumit nukkuvat talven.	Natutulog sa taglamig ang mga Moomin.	nukkuvat	0	0
Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	matkasta	0	0
Muumit nukkuvat talven.	Natutulog sa taglamig ang mga Moomin.	talven	0	0
Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	linnun	0	0
Autotallissa on omenoita.	May mga mansanas sa garahe.	autotallissa	0	0
Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	pidätti	0	0
Brenna on vanha. Viha ja kateus ovat hänen tunteitaan.	Matanda na si Brenna. Ang kagalitan at kainggitan ay mga emosyon niya.	tunteitaan	0	0
Muumitalo on lumen peitossa.	Natatakpan ng niyebe ang bahay ng Moomin.	lumen	0	0
Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	tuloksena	0	0
Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	kantanut	0	0
Keittiössä on omenoita.	May mga mansanas sa kusina.	omenoita	0	0
Puhutko omasta mielestäsi sujuvasti ranskaa?	Itinuturi mo ba ang iyong sarili na matatas na mananalita ng Pranses?	sujuvasti	0	0
Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	toistamaan	0	0
Keittiössä on appelsiineja.	May mga dalandan sa kusina.	appelsiineja	0	0
Joni ei osaa puhua ranskaa hyvin.	Hindi magaling magsalita ng Pranses si Juan.	joni	0	0
Brenna on vanha. Viha ja kateus ovat hänen tunteitaan.	Matanda na si Brenna. Ang kagalitan at kainggitan ay mga emosyon niya.	kateus	0	0
Korissa on appelsiineja.	May mga dalandan sa basket.	korissa	0	0
En ole koskaan nähnyt Muumipeikkoa tosielämässä.	Hindi pa ako nakakita ng isang Trol na Moomin sa totoong buhay.	tosielämässä	0	0
Muumijoki on jäinen.	Nagyeyelo ang ilog ng Moomin.	jäinen	0	0
